Season,R2,MAE,MAPE,RMSE,Station,Model,TLPercentage
Spring,0.8089316322037172,0.5890564547207748,11.130194378697283,0.7259184766029962,AL41-alhama,M4,0.9
Summer,0.8722041098301484,0.3662560363673902,7.7071717158687765,0.5000401121076212,AL41-alhama,M4,0.9
Autumn,0.7664347972274748,0.6902345445772159,69.59079710315508,0.8015441235789285,AL41-alhama,M4,0.9
Winter,0.7626039384851853,0.6001561392235926,36.25878592709499,0.7196435972734865,AL41-alhama,M4,0.9
Spring,0.6479805904567878,0.5513611891244701,15.759076102519773,0.7135214727368315,CA73-cartagena,M4,0.9
Summer,0.8119578840313988,0.701396772393548,19.753067621362113,0.8206379496121983,CA73-cartagena,M4,0.9
Autumn,0.8238223242455859,0.8152280556143984,52.35511020502492,0.8826328703891003,CA73-cartagena,M4,0.9
Winter,0.7895040036875528,0.6705049914246681,37.82397719041726,0.7542457620241395,CA73-cartagena,M4,0.9
Spring,0.7024155797171325,0.6781162922827098,16.78993341071123,0.819991681262909,CA91-fuenteAlamo,M4,0.9
Summer,0.7947694476438345,0.7242049049656304,18.244842603316698,0.882600893464492,CA91-fuenteAlamo,M4,0.9
Autumn,0.7187402154322419,0.958218613253317,70.86014863566842,1.0614798570578257,CA91-fuenteAlamo,M4,0.9
Winter,0.7928398199229418,0.6551806021141772,36.391261888821056,0.7381669974099779,CA91-fuenteAlamo,M4,0.9
Spring,0.7301310884785908,0.7161895112948328,15.126098123336401,0.8743524315610929,CI42-cieza,M4,0.9
Summer,0.8040726918001032,0.731823443452368,16.271648064145573,0.9129004209286294,CI42-cieza,M4,0.9
Autumn,0.8255199698112635,0.872424151581513,70.7652123278967,0.9628481887690032,CI42-cieza,M4,0.9
Winter,0.8355704279032014,0.49792651116946063,30.906836953749412,0.5723027100183984,CI42-cieza,M4,0.9
Spring,0.719405743338734,0.5497520207378958,12.353437689077367,0.7579354611054426,CR12-caravaca,M4,0.9
Summer,0.8406657591382827,0.9655187398771516,21.8543332486038,1.1345653040157007,CR12-caravaca,M4,0.9
Autumn,0.8062836934590775,0.39188086894255847,21.285967936522248,0.45976192995007914,CR12-caravaca,M4,0.9
Winter,0.7312690002266106,0.33824728691687683,16.551061333448665,0.4473485545512685,CR12-caravaca,M4,0.9
Spring,0.6988243189914268,0.5297710127558385,10.364716651422928,0.7292929028043409,JU71-jumilla,M4,0.9
Summer,0.8714870282801976,0.40684512385176425,7.560311799525149,0.5607669922364661,JU71-jumilla,M4,0.9
Autumn,0.7475396565919187,0.366414937039782,16.72803175496808,0.4430501558303832,JU71-jumilla,M4,0.9
Winter,0.8260899391653956,0.30603161318452454,12.731833123791484,0.41399293543995785,JU71-jumilla,M4,0.9
Spring,0.7798337435473072,0.4352942374912365,10.000396443181778,0.6073710317570035,LO51-aguilas,M4,0.9
Summer,0.8627247256299743,0.3914385179215145,8.199177560256238,0.5093748066902152,LO51-aguilas,M4,0.9
Autumn,0.8266366252965133,0.40932351516631055,18.162843830597733,0.525842656101192,LO51-aguilas,M4,0.9
Winter,0.8407277444554744,0.4107760839816297,15.182010349693245,0.5130883400495587,LO51-aguilas,M4,0.9
Spring,0.8272693716062473,0.5041863674209427,10.595899157874513,0.6242282489386256,MO22-molinaSegura,M4,0.9
Summer,0.8558084304088267,0.6232654764190828,13.979151078272245,0.7617592419562581,MO22-molinaSegura,M4,0.9
Autumn,0.5586542729990885,0.5422658875814479,22.772767502095032,0.677101614244985,MO22-molinaSegura,M4,0.9
Winter,0.8203590176588086,0.36306057186286733,16.40581484261442,0.4697863789915905,MO22-molinaSegura,M4,0.9
Spring,0.7882853247217698,0.5840163103872302,11.079555858476049,0.7122848767611384,AL41-alhama,M3,0.9
Summer,0.8322909196925833,0.5165888855584159,11.035512495318207,0.6842851437750058,AL41-alhama,M3,0.9
Autumn,0.7407174543397957,0.648289568994327,61.02395847472769,0.7544523462953739,AL41-alhama,M3,0.9
Winter,0.7727237022995181,0.5770613780924843,33.81375793825409,0.6958179622211063,AL41-alhama,M3,0.9
Spring,0.568352931382222,1.1786752316814617,29.675581712833786,1.4109902798406708,CA73-cartagena,M3,0.9
Summer,0.5905295333967668,1.6746542317081203,43.503528501561505,1.8781090339505333,CA73-cartagena,M3,0.9
Autumn,0.7312173133334012,0.7474575814486413,48.33051539560508,0.8563622050036942,CA73-cartagena,M3,0.9
Winter,0.7328204886183548,0.8455608299715645,47.213822028767645,0.9565259503832314,CA73-cartagena,M3,0.9
Spring,0.637592200478307,0.8835995065050396,20.663791265360285,1.0985421928836583,CA91-fuenteAlamo,M3,0.9
Summer,0.672654346665913,1.2051235690290911,29.62306097202661,1.4244033945395964,CA91-fuenteAlamo,M3,0.9
Autumn,0.7961944408338398,0.8129838544789597,57.92808141610052,0.9241562793202964,CA91-fuenteAlamo,M3,0.9
Winter,0.829321189684162,0.5965029126534279,32.51867916916181,0.6882110534172775,CA91-fuenteAlamo,M3,0.9
Spring,0.7534084314715858,0.8588698382991058,17.527410070635863,1.012137457035492,CI42-cieza,M3,0.9
Summer,0.8346229123825362,1.0375999392558817,21.781175585478422,1.174977805318922,CI42-cieza,M3,0.9
Autumn,0.8119664592732009,0.9235440805707131,73.46776863783842,1.0427239982206136,CI42-cieza,M3,0.9
Winter,0.804660180439763,0.514921765995862,31.318680448727598,0.595334135856223,CI42-cieza,M3,0.9
Spring,0.6930106379161087,0.58949251368207,13.022941356356501,0.8233987473596771,CR12-caravaca,M3,0.9
